DOCUMENT	SECTION	ANAPHOR OFFSET	ANAPHOR SENTENCE	ANAPHOR FORM	ANTE OFFSET	ANTE SENTENCE	ANTE FORM	ANTE 2 OFFSET	ANTE 2 SENTENCE	ANTE 2 FORM
1880_Scott_psyllids_Russia_translation	abstract	168	1	it	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	322	3	its	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	346	3	it	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	660	9	species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	738	10	them	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	744	11	The species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	748	11	species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	853	13	It	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	944	13	SPECIES	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	1113	16	species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	1444	17	it	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	1485	17	the species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	1489	17	species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	1638	21	this species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	1643	21	species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	2740	37	its	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	2761	37	it	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	2982	37	it	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	3968	51	its	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	4538	56	species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	4549	56	this genus	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	5651	69	species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	5788	71	Its	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	5868	71	it	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	7113	79	it	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	7651	83	it	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	7793	85	the species	1708	22	A. bicolor			
1880_Scott_psyllids_Russia_translation	abstract	7797	85	species	1708	22	A. bicolor			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	443	3	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	763	8	They	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	856	8	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	1019	11	Species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	1150	12	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	1605	14	parasite	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	1636	15	It	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	2002	15	it	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	2148	18	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	2248	20	It	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	2559	21	parasite	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	2772	23	it	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	2969	26	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	3350	30	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	3704	32	The species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	3708	32	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	3774	32	it	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	4003	35	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	4337	38	Species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	4492	40	Species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	4536	40	parasite	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	4735	42	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	4766	43	The species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	4770	43	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	5005	45	It	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	5656	50	species	5188	46	No. 1			
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation	abstract	5717	52	species	5188	46	No. 1			
1973_Hodkinson_psyllids_Canada_translation	abstract	1844	16	the species	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	1848	16	species	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	3049	21	species	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	3079	21	species	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	3718	36	species	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	5324	95	it	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	5328	95	they	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	5356	95	it	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	6055	101	species	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	6225	101	they	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	6285	101	they	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	6667	103	it	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	7225	109	them	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	7486	110	their	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	7657	112	It	460	3	Ash			
1973_Hodkinson_psyllids_Canada_translation	abstract	7795	112	it	460	3	Ash			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	346	2	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	1413	11	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	1521	12	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	1753	13	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	1908	15	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	2008	15	its	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	2042	15	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	2075	16	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	4397	40	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	6155	92	species	5586	68	Kar			
1996_Guclu_&_Burckhardt_Turquie_Cacopsylla_pru_translation	abstract	6791	120	species	6721	119	No. 44			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	44	1	their	229	4	CAB			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	862	6	their	555	6	CAB			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	1324	7	it	555	6	CAB			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	1354	7	it	555	6	CAB			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	2579	12	their	2264	11	Phytoplasma mali			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	3666	14	Organism	2264	11	Phytoplasma mali			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	3796	14	their	2264	11	Phytoplasma mali			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	3845	15	Organism	229	4	CAB			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	3870	15	Bacteria	229	4	CAB			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	4160	15	pathogens	3960	15	Phytoplasma			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	4220	15	bacteria	3960	15	Phytoplasma			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	4236	15	pathogens	3960	15	Phytoplasma			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	4272	15	bacterium	3960	15	Phytoplasma			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	4381	15	bacteria	3960	15	Phytoplasma			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	4391	15	phytopathogens	3960	15	Phytoplasma			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	4439	15	bacteria	3960	15	Phytoplasma			
2005_Delic_First_report_of_fruit_tree_phytopl1_translation	abstract	4816	15	Bacteria	3960	15	Phytoplasma			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	547	2	the disease	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	1175	7	The disease	992	6	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	1897	12	species	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	1966	12	the disease	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	2274	14	This species	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	2279	14	species	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	2348	14	species	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	2357	15	It	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	2591	17	species	2418	17	P. prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	2638	18	their	2418	17	P. prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	2839	19	the disease	2418	17	P. prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	2906	19	the disease	2418	17	P. prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	4146	27	the disease	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	4735	34	Species	475	2	Candidatus Phytoplasma prunorum			
2007_Sabate_BI_vol60-193-194_Cacopsylla_pruni_translation	abstract	5899	41	organisms	475	2	Candidatus Phytoplasma prunorum			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	700	7	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	775	7	their presence	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	775	7	their	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	1119	8	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	1341	10	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	2090	13	the disease	1647	12	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	2413	16	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	2522	18	Species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	3077	18	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	3519	23	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	3601	24	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	3737	25	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	4217	27	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	4306	28	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	4484	29	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	4556	30	species	508	7	Candidatus Phytoplasma mali			
2008_Tedeschi_hawthorn_psyllids_fauna_translation	abstract	6073	39	species	508	7	Candidatus Phytoplasma mali			
