document_name,pipeline_highlight,correction,quality,supposed_cause,context,correct_label,possible_solution,comments
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,5 ion,false_negative,"text_extraction_issue,unknown_lexeme","Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat,"add_pattern,taxon_autocorrector",
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,7: detule,false_negative,text_extraction_issue,"Otiorhynchus picipes, Monochetus sulcatus, Magdalinus prani, Rhynchites auratus, the Hymenopterous insects Andrena bucephala, Eriocampa adumbrata, Lepidoptera Black — Hairstreak (Thecla pruni), Scarlet T (Callimorpha dominula), Vellow Tail Moth (Liparis auriflua), Grey Dagger (Aeronyata psi), White-lewter Hair- streak (Thecla W. album), Brown Hairstreak (7: detule), Short-cloaked Moth (Nola cucullatella), &c., and the Homopterous Capsus capilZaris",taxon,,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,Acer,Acer campestris ,too_narrow,unknown_lexeme,"Trentino, Garniga, on Acer campestris L., VII-1945 5 some specimens. Species widely Jata in Italy. ",taxon,add_lexeme,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,Acer,Acer campestris L. VII-1945 5,too_narrow,unknown_lexeme,"am. Psyiiiae Haupt. zarni is La, VIL-1945 5 # Rhinocola aceris (LLinn.) - Trentino, Garniga, on Acer campestris L., VII-1945 5 some specimens. ",taxon,add_lexeme,
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,adelgid,false_negative,unknown_lexeme," The Sternorryncha of the Maltese Islands is represented by 99 aphids (Mirsup ef al, 2011; Mirsup et al., 2013), 1 phylloxerid (Mirsup et al., 2011), 1 adelgid (Mirsup & Pérez Hiwatco, 2012), 18 whiteflies (Matumpay & Mirsup, 2012, 2016), 21 jumping plant-lice (Mirsup, 2020) and 93 scale insects (Mirsup et al., 2014) for a total of 233 species. ",habitat,add_lexeme,
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Aeronyata psi,false_negative,unknown_lexeme,"Otiorhynchus picipes, Monochetus sulcatus, Magdalinus prani, Rhynchites auratus, the Hymenopterous insects Andrena bucephala, Eriocampa adumbrata, Lepidoptera Black — Hairstreak (Thecla pruni), Scarlet T (Callimorpha dominula), Vellow Tail Moth (Liparis auriflua), Grey Dagger (Aeronyata psi), White-lewter Hair- streak (Thecla W. album), Brown Hairstreak (7: detule), Short-cloaked Moth (Nola cucullatella), &c., and the Homopterous Capsus capilZaris",taxon,add_lexeme,
2012_Ozgen_Psyllids_Anatolie_translation,Agonoscena pistaciae ,"Agonoscena pistaciae Burckhardt & Lauterer, 1989",too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,add_lexeme,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,Alnus viridis Delc.,"Alnus viridis Delc., 111-1951",too_narrow,unknown_lexeme," Psylla alpina Férst. - Trentino, Val Genova, Malga Cercen, on Alnus viridis Delc., 111-1951; numerous specimens.",taxon,add_lexeme,
2012_Ozgen_Psyllids_Anatolie_translation,Aphalara ,Aphalara grandicula,too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,add_lexeme,
2012_Ozgen_Psyllids_Anatolie_translation,Aphalara ,"Aphalara grandicula (Gegechkori, 1981)",too_narrow,unknown_lexeme,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon,add_lexeme,
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,Aphalara,Aphalara pieta Auet.,too_narrow,"unknown_lexeme,abbreviation",#Crespedolepta flavipennis (Forst.) (= Aphalara pieta Auet.),taxon,add_lexeme,
