catalogNumber,phylum,class,order,suborder,superfamily,family,subfamily,genus,acceptedNameUsage,Occurrence,speciesA,speciesB,country,countryCode,locationRemarks,locality,coordinateUncertaintyInMeters,decimalLatitude,decimalLongitude,hostPlantFamily,hostPlantLatinName,hostPlantVernacularName,sourceCategory,ownerInstitutionCode,locationAccordingTo,dateIdentified,page,eventDate,eventDate,associatedReferences
NS0001,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",probable absence,not genotyped,not genotyped,Afghanistan,AF,not mentioned,,,,,unspecified species,unspecified species,NA,Literature,,"Steffek R, Swen Follak S, Sauvion N, Labonne G & MacLeod A (2012) Distribution of 'Candidatus Phytoplasma prunorum' and its vector Cacopsylla pruni in European fruit growing areas: a literature survey. EPPO Bulletin 42: 191-202",2012,198,2012,2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/epp.2567
NS0002,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",probable absence,not genotyped,not genotyped,Afghanistan,AF,"Cacopsylla cf. nasuta, Cacopsylla sp., not Cacopsylla pruni",,,,,unspecified species,unspecified species,NA,Literature,,"Malenovsky I, Lauterer P, Labina E & Burckhardt D (2012) Jumping plant-lice (Hemiptera: Psylloidea) of Afghanistan. Acta Entomologica Musei Natioalis Pragae 52",2012,,,,http://swfrec.ifas.ufl.edu/hlb/database/pdf/00002980.pdf
NS0003,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",probable presence,not genotyped,not genotyped,Albania,AL,"mentioned 'vector, no data'",,,,,unspecified species,unspecified species,NA,Literature,,"Steffek R, Swen Follak S, Sauvion N, Labonne G & MacLeod A (2012) Distribution of 'Candidatus Phytoplasma prunorum' and its vector Cacopsylla pruni in European fruit growing areas: a literature survey. EPPO Bulletin 42: 191-202",2012,198,2012,2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/epp.2567
NS0004,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",probable presence,not genotyped,not genotyped,Albania,AL,no Cacopsylla sp. in the list,,,,,unspecified species,unspecified species,NA,Literature,,Klimaszewski SM (1961) Psyllidologische Notizen I-II (Homoptera). Annales Zoologici (Warsaw) 19: 113-123,1961,,,,
NS0005,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",probable presence,not genotyped,not genotyped,Algeria,DZ,not mentioned,,,,,unspecified species,unspecified species,NA,Literature,,"Steffek R, Swen Follak S, Sauvion N, Labonne G & MacLeod A (2012) Distribution of 'Candidatus Phytoplasma prunorum' and its vector Cacopsylla pruni in European fruit growing areas: a literature survey. EPPO Bulletin 42: 191-202",2012,198,2012,2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/epp.2567
NS0006,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",probable presence,not genotyped,not genotyped,Algeria,DZ,"Annotated faunal list including first records, Cacopsylla pruni not in the list",,,,,unspecified species,unspecified species,NA,Literature,,"Lauterer P & Burckhardt D (1994) A contribution to the knowledge of Algerian jumping plant-lice (Homoptera, Psylloidea). Archives des Sciences (Geneva) 47: 9-14",1994,,,,
NS0007,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",probable presence,not genotyped,not genotyped,Algeria,DZ,"ESFY on Prunus spp., not Cacopsylla pruni",,,,,unspecified species,unspecified species,NA,Literature,,"Matallah H (2008) Recherche de maladies à phytoplasmes sur Rosacées fruitières dans la région du centre Algérien: PhD, INA",2008,,,,http://dspace.ensa.dz:8080/jspui/handle/123456789/719
NS0008,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Armenia,AM,Кармракар - a village in the Shirak Province of Armenia,Karmrakar,10000,40.8682,43.887,unspecified species,unspecified species,NA,Literature,,"Loginova MM (1968) New data on the fauna and biology of the Caucasian Psylloidea (Homoptera) [Novyye dannyye po faune i biologii psillid (Psylloidea, Homoptera) Kavkaza]. Trudy Vsesoyuznogo entomologicheskogo obshchestva Akademiya Nauk SSR 52: 275-328",1968,300,1955,1955,
NS0009,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Armenia,AM,not mentioned,,,,,unspecified species,unspecified species,NA,Literature,,"Steffek R, Swen Follak S, Sauvion N, Labonne G & MacLeod A (2012) Distribution of 'Candidatus Phytoplasma prunorum' and its vector Cacopsylla pruni in European fruit growing areas: a literature survey. EPPO Bulletin 42: 191-202",2012,198,2012,2012,https://onlinelibrary.wiley.com/doi/abs/10.1111/epp.2567
NS0010,Arthropoda,Insecta,Hemiptera,Sternorrhyncha,Psylloidea,"Psyllidae Latreille, 1807","Psyllinae Latreille, 1807","Cacopsylla Ossiannilsson, 1970","Cacopsylla (Thamnopsylla) pruni (Scopoli, 1763)",confirmed presence,not genotyped,not genotyped,Austria,AT,,Wienerwald,10000,48.0927,15.9518,unspecified species,unspecified species,NA,Literature,,Löw F (1876) Zur Biologie und Charakteristik der Psylloden nebst Beschreibung zweier neuer Species der Gattung Psylla. Verhandlungen der zoologisch-botanischen Gesellschaft in Wien 26: 187-216,1876,205,1876,1876,https://www.hemiptera-databases.org/psyllespdf/275.pdf
