document_name,pipeline_highlight,correction,quality,supposed_cause,context,correct_label
2012_Ozgen_Psyllids_Anatolie_translation,Aphalara ,"Aphalara grandicula (Gegechkori, 1981)",too_narrow,case_sensitivity,"These species were Cyamophila glycyrrhizae (Becker, 1864), Spanioneura pechai (Klimaszewski &Lodos, 1977), Homotoma ficus (Linnaeus, 1758), Euphyllura straminea Loginova, 1973,Trioza magnisetosa Loginova, 1964, Aphalara grandicula (Gegechkori, 1981), Trioza neglecta Loginova, 1978, Trioza remota Foerster, 1848, Cacopsylla permixta Burckhardt & Hodkinson, 1986, Cacopsylla bidens (Sulc, 1907), Cacopsylla marianne (Baeva, 1966), and Agonoscena pistaciae Burckhardt & Lauterer, 1989",taxon
1955_Tamanini_Cacopsylla_pruni_Italie_première_identification_translation,Aphalara,Aphalara pieta Auet.,too_narrow,case_sensitivity,#Crespedolepta flavipennis (Forst.) (= Aphalara pieta Auet.),taxon
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,Auchenorrhynchan,false_negative,case_sensitivity,"The Auchenorrhynchan fauna of the Maltese Islands was first reviewed by D’Urso & Mirsup (2012), at that time including 46 species, with another being added by D’Urso (2016), and a further 24 recorded by D’Urso et al. (2019) totaling this suborder’s local representatives at 71. ",taxon
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,Auchenorryncha,false_negative,discontinued_entity_coordination,"bringing the total species known of Auchenorryncha, Heteroptera and Sternorrhyncha to 80, 237, and 234 respectively.",taxon
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bibionid,false_negative,encoding,"Syrphide, Muscidae, Bibionid",habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,Biorhiza,Biorhiza terminalis,too_narrow,foreign_term,It is also galled by Cecidomyia praniand Biorhiza terminalis;,taxon
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackberry,false_negative,foreign_term,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn,false_negative,foreign_term,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn,false_negative,foreign_term,In Surrey it is always cold when the Blackthorn comes in flower. ,habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn blossoms,false_negative,morphological variation,the Blackthorn blossoms make the otherwise dark growth of branches quite white in early spring.,habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn Chats,false_negative,morphological_variation,Blackthorn Chats are the young shoots when they have been cut down,habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Blackthorn-May ,false_negative,morphological_variation,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,branches,false_negative,NA,The plant is a bushy tree with numerous interlacing branches,habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,branches,false_negative,NA,the spines being arrested branches.,habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Brown Hairstreak ,false_negative,NA,"Otiorhynchus picipes, Monochetus sulcatus, Magdalinus prani, Rhynchites auratus, the Hymenopterous insects Andrena bucephala, Eriocampa adumbrata, Lepidoptera Black — Hairstreak (Thecla pruni), Scarlet T (Callimorpha dominula), Vellow Tail Moth (Liparis auriflua), Grey Dagger (Aeronyata psi), White-lewter Hair- streak (Thecla W. album), Brown Hairstreak (7: detule), Short-cloaked Moth (Nola cucullatella), &c., and the Homopterous Capsus capilZaris",taxon
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Buckthorn,false_negative,NA,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullace,false_negative,NA,It is the origin of the Bullace and the Plum.,habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullens,false_negative,NA,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullies,false_negative,NA,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullins,false_negative,NA,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat
1919_Horwood_blackthorn_Cacopsylla_pruni_UK_translation,NA,Bullister,false_negative,NA,"Blackberry, Blackthorn, Blackthorn-May, Buckthorn, Bullens, Bullies, Bullins, Bullister, Cat's-sloes, Eggpeg Bushes, Hedge Picks, Hedge Speaks, Heg Peg Bushes, Hep, Winter Kecksies, May Blackthorn, Quick Scrog, Skig Slaathorn, Slacen-bush, Slan, Slaunbush, 5 ion, Slone Bloom, Sloobush, Slines, Snag, Snagbush, Winter Picks",habitat
2020_Gjonov_New_records_of_Hemiptera_from_the_Maltese_Islands_Cacopsylla_pruni_Malta_copie,NA,Bursinia sicula,false_negative,NA,"nine new records of Auchenorrhyncha (Bursinia sicula Emeljanoy, Chloriona sicula Matsumura, Eupteryx zelleri (Kirschbaum)",taxon
